_unit_id,airline_sentiment,airline,text
681458799,negative,Delta,@JetBlue what's up with the random delay on flight 1729 Any chance of it being a false alarm
681678518,negative,American,@AmericanAir how can I get travel question answered quickly Online and calling not helping with this busy day
681452037,negative,United,@united your system is down and after being on hold for over 20 mins Mia tells me she is going to charge a Flight Booking Problems fee Customer service
681677799,negative,American,@AmericanAir to add insult to injury I have to go pick it up myself Real class act I'll stick the Delta from now on
681678373,negative,American,@AmericanAir I've been trying to call your reservations desk for past 12 hours and can't get through This is not what I expected
681455535,negative,Southwest,@SouthwestAir doesn't work on my flight Just fyi
681677827,negative,American,@AmericanAir This is getting a bit ridiculous when and you have made me miss 2 full days off work and had to pay for cabs back and forth
681679297,negative,American,@AmericanAir now I have to pay for a hotel a car ride miss classes which I pay 30k for and miss work and you tell me to talk to someone
681678407,negative,American,@AmericanAir @united just deplaned at O'Hare gate K13 Why don't you send a customer service rep to discuss my situation God knows
681679364,negative,American,@AmericanAir ive literally been holding for more than 2 HOURS now i was told 2hrs You all are sabotaging any chance i have of getting home
681460267,negative,US Airways,@USAirways Instead the miles are credited to an account that i did not open My request to merge the accounts is denied
681462620,negative,US Airways,@USAirways delayed 2 days for weather and on top I got yelled at for being Late Flight when I was not notified of the time change #WellDone
681456636,negative,Southwest,@SouthwestAir Engadget Theverge Wired reddit
681457784,negative,Delta,@JetBlue i only take jetblue to travel and i have to go to maimi next year but you guys dont go to maimi why dont you guys go to maimi
681678274,negative,American,@AmericanAir we have been sitting on the plane for over an hour unacceptable you have a complete disregard for customer service
681679569,negative,American,@AmericanAir @tcunningham10 please call us back to rebook 7403607771 we can't through We need to get to columbus
681454115,negative,United,@united No The entire problem here is that I was never sent anything via email and only given a Flight Booking Problems number over the phone
681456736,negative,Southwest,@SouthwestAir 4 flights Cancelled Flightled in one week Customer Service is
681452193,negative,United,@united first you lost all my bags now you Cancelled Flight my flight home 30 min wait to talk to somebody #poorservice #notgoodenough
681457015,negative,Southwest,@SouthwestAir I'm trying to change a family vacation due to Measles outbreak and haven't been able to get anyone on the phone Any help
681677584,negative,American,@AmericanAir so great AA1103 sitting for an hour first technical problems now what
681677204,negative,American,@AmericanAir I sure hope you all can fix @USAirways Good luck their service sucks #nexttimeiwillflysouthwest
681677318,negative,American,@AmericanAir car accident on my way to the airport Missed flight from rno to dca Trying to resched but your line has 2 hr wait
681458543,negative,Delta,@JetBlue we want room and food allowances Agents are refusing to give us vouchers to use at rooms we book ourselves
681450130,negative,United,@united day 3 of this Saga maybe they'll finally make it home Intentional or not it not gonna get them back there vacation days #badservice
681459173,negative,Delta,@JetBlue But jet blue had Cancelled Flighted my ticket &amp; never reissued it
681455205,negative,Southwest,@SouthwestAir did anyone come into work today u should have all the pilots and flight attendants answer phones if no one is flying
681678782,negative,American,@AmericanAir @emeyerson @ggreenwald Don't wait on a bag Go to Walmart and get what you need for tomorrow morning
681454548,negative,Southwest,@SouthwestAir Should be a way to give voice to customers who pay for services that are not satisfactorily delivered #justsayin
681461884,negative,US Airways,@USAirways how long are you going make us sit in this plane while they repair it Could I at least get a beer
681455364,negative,Southwest,@SouthwestAir I thank you for the reply but too complicated to DM really would like to talk to a cust rep What is going on there
681458522,negative,Delta,@JetBlue why haven't you allowed for flight changes into the NY area airports tonight Everyone is saying travel is treacherous
681450858,negative,United,@united a baby shit its pants half way through my flight and it smelled like shit what are you going to do about this
681454113,negative,United,@united stuck here in IAH waiting on flight 253 to Honolulu for 7 hours due to maintenance issues Could we have gotten a new plane Fail
681459982,negative,Delta,@JetBlue my request has nothing to do with rescheduling But customer service has such a bad attitude today #badservice
681450531,negative,United,@united customer service what's That
681460815,negative,US Airways,@USAirways would have been nice to be offered in flight credit Especially since I'm staring at empty overhead room
681452347,negative,United,@united your agents forced me to check a carry on bag When I received my bag I found your crew had stolen from me U lost my business
681454783,negative,Southwest,@SouthwestAir Cancelled Flightled my flight rescheduled to EWK gave me a pseudo voucher that directed me to the worst @daysinn in existence #fail
681455784,negative,Southwest,@SouthwestAir I have never been mor e disappointed in a company charging $8 to use your wifi which only works for about 8 apps parhetic
681450457,negative,United,@united how can a plane that has been sitting in a hanger all day have numerous mechanical problems Doesn't anyone actually do maintenance
681463009,negative,US Airways,@USAirways Feeling helpless at Tanpa airport How can I talk to someone Flight delayed 4 times Need help Missed connections will be prob
681461033,negative,US Airways,@USAirways Southern Hospitality luggage delivery service from SAV is AWFUL Great @ delivering empty promises but not luggage #8hrs&amp;waiting
681678523,negative,American,@AmericanAir record locator oaaret got email we couldn't be rebooked but got no notification flight was Cancelled Flightled
681449403,negative,United,@united UA276 sitting at EWR nearly an hour after sked Pilot says computers down but no clue when we will leave Can you help
681679738,negative,American,@AmericanAir half hour Late Flight leaving DFW no attempt at an explanation
681451315,negative,United,@united no apology Cool
681456481,negative,Southwest,@SouthwestAir step 1 be less shot Step 2 acknowledge customers other places than Twitter Step 3 don't suck so much
681460117,negative,US Airways,@USAirways like they will call me I'v been trying since yesterday and no one is answering
681452216,negative,United,@united we're sitting in UA1088 getting delayed because the operations can't find captain #ridiculous #united
681462312,negative,US Airways,@USAirways BOS &gt; DCA delayed again This needs to stop I will be filing complaints with the FAA and Consumer Affairs
